nom_grup, nom_canço, lletra
"entre-linies","parla-mes-baix","Fes que soni un cop més,
ell mai no ho sentirà,
truca'm en despertar,
parla'm de tu i res més.
És molt tard i avui fa fred,
torno a creuar el carrer,
et busco a cada instant,
et trobo a cada lloc
(dins el meu cap).
Digue'm on has deixat
marcat el teu pas,
digue'm quan tornaràs
a passar per allà.
Tu, no vagis més enllà,
estic aquí sols per tu,
viu el present i prou,
tornem-nos a trobar
(un altre cop).
Fes que em senti important,
que pugui creure en tu,
oblida el desert
que tens al voltant.
Digue'm on et puc trobar
a les nits, si estic sol,
digue'm quan ens podrem
tornar a veure.
El pròxim cop parla més baix,
el pròxim cop tu parla més baix.
Fes que soni un cop més,
ell mai no ho sentirà,
truca'm en despertar,
parla'm de tu i res més."
"entre-linies","un-altre-crit","No em diguis que ha acabat,
segueixen frenant mans,
la llum es va amagant,
buscant les moltes solucions.
No em diguis que no han destruït,
mirades que es creuen,
que tot pot començar
i cap idea es pot trencar.
Pensen que no els importa,
han disparat contra la gent un altre cop,
les paraules s'han cremat
i el cercle es tanca entre odi fosc.
Un altre crit perdut.
La nit els va cercant,
reunits entre sorolls,
la por els va incitant.
Negre i blanc són els colors
de la frontera entre dos mons,
odi entre els carrers,
potser algun dia acabarà.
Pensen que no els importa,
han disparat contra la gent un altre cop,
les paraules s'han cremat
i el cercle es tanca entre odi fosc.
La llum es va amagant,
la por els va incitant,
reunits entre sorolls.
I un altre crit perdut.
La nit els va cercant,
les veus van incitant,
ballant entre records."
"la-llei-del-plaer","amant-illegal","Espera'm, no diguis res,
escolta les seves veus,
s'apropen, em volen a mi,
he de fugir o sóc home mort.
Amaga'm, ara em pots ajudar,
porta'm amb tu o em descobriran.
Sé que només sóc el teu amant il.legal,
animal ferit, presa dels teus encants,
però t'ha arribat l'hora de decidir,
la meva pell és a les teves mans.
Amaga'm, que ells m'estaran buscant,
porta'm amb tu o em descobriran.
Amaga'm, ara em pots ajudar,
porta'm amb tu o em descobriran,
ells em descobriran.
Prometo ser el teu esclau,
posar-me als teus peus,
si això et complau,
si vols, seré l'ombra del teu desig
i et seguiré fins que caigui ferit.
Però amaga't, que ells estaran buscant,
no et moguis o ens descobriran,
ells ens descobriran."
"la-llei-del-plaer","deixar-de-delirar","Sempre estava despistat,
assegut allà al fons del bar,
amb un got entre les mans,
fent passar un dia llarg.
Els meus ulls ja s'han cansat,
mirant la porta del davant,
esperant que entri la sort
i m'agafi pel meu braç.
Hauria de fer com el vent,
canviar de lloc a cada instant,
mirar de despistar el passat,
deixar de delirar.
Cada dia és el mateix,
el meu nom és un de més
entre els que ho hem intentat,
però seguirem esperant.
Hauria de sortir al carrer,
mirar de tornar a ser el d'abans,
deixar de caminar pel fang,
fer que la llum torni a brillar.
Hauria de fer com el vent,
canviar de lloc a cada instant,
mirar de despistar el passat,
deixar de delirar.
Sempre estaré despistat,
assegut allà al fons del bar,
amb un got entre les mans,
fent passar un dia llarg."
"la-llei-del-plaer","el-dia-dels-ignorants","En un poble oblidat pels déus
les campanes van tocant,
les aus volen ajudades pel vent,
és presagi de mals temps.
Els fars marquen la costa innocent,
mentre el mar es va agitant
i els vells diuen que és a punt d'arribar
el dia dels ignorants.
La tempesta castigarà les nostres penes
i tot per no saber amagar els nostres pecats,
el mal caurà del cel i portarà
el dia dels ignorants.
Ara esperen resignats el final,
mentre el sol es consumeix,
la foscor cau entre alguns dèbils cants
que van implorant pietat.
Han nascut per ser part del passat,
el temps els enterrarà
i els vells diuen que és a punt d'arribar
el dia dels ignorants.
La tempesta castigarà les nostres penes
i tot per no saber amagar els nostres pecats,
el mal caurà del cel i portarà
el dia dels ignorants."
"la-llei-del-plaer","heroi-comic","Sona el telèfon darrera seu,
desesperada és la veu que ara escolta,
sembla que era l'última nit.
Trenca les formes violentament,
jaqueta negra a l'esquena
i surt al carrer, ja no hi perd res.
Ara les nits són de glòria,
ell brilla damunt la història,
com un heroi dintre d'un còmic.
Per què estàs quiet?
qui et va dibuixar?
d'aquí no et pots moure,
et sents ofegat.
De pressa estudia la situació,
mira de trobar una solució,
queda una pàgina d'aquí al final.
Sona el telèfon un altre cop,
desesperada és la sort que potser espera,
deixar de ser sempre una il·lusió.
Per què ets aquí?
amb qui vols parlar?
d'aquí no et pots moure,
et volen matar.
'No em toquis', ell deia,
mentre el voltaven per l'esquena,
'qui ho va fer?', ell deia,
vénen per darrera!, darrera!, darrera!
Ara les nits són de glòria,
ell brilla damunt la història,
com un heroi dintre d'un còmic.
La lluna amagava els fets,
la pluja queia sobre un cos humit,
algú assassinat al mig del pas.
Sembla que era el nostre amic
que aconseguia el seu negre desig,
deixar de ser un heroi de còmic."
"la-llei-del-plaer","joc-brut","Per fi conec
les teves trampes,
m'he preparat millor,
ja no et tinc por.
El teu rostre
m'amaga un cop més
la sort del millor.
Cauràs entre les pedres,
ho has merescut,
no em pots guanyar avui.
El joc és dur,
vigilo i penso:
'els teus nous moviments
sempre traïdors'.
Ningú em recollirà al carrer,
si surto vençut d'aquí,
hauré de fer un esforç
i aixecar-me sol, davant teu.
Prou de joc brut per mi,
sense cap límit.
Al fons del teu engany
s'amaga un home,
em mira i dicta un tros
del meu destí.
Tu ets la vida, jo no sóc etern,
beuré de les teves mans,
tota la teva ràbia per fer-me fort,
no hi pots fer res.
Prou de joc brut per mi,
sense cap límit."
"la-llei-del-plaer","la-llei-del-plaer","Creus que podré volar?
saltar per la finestra?
hi ha un bon tros d'aquí a baix,
la gent ens sentirà.
Però això ho hem d'arreglar
a soles tu i jo,
en un lloc on els crits
són la llei del plaer.
No deixo de pensar
com ens podrem frenar,
ara no és el moment,
potser demà, potser demà.
Avui no hi ha ni déu,
crec que podré arribar,
però no em toquis, que cremes
i em faries caure!, caure!
Per què em claves els ulls
d'aquesta forma estranya?
per què tanques el llum
i em mossegues les mans?
No deixo de pensar
què farem a la nit,
tots dos sobre el llit,
provant els cinc sentits.
No deixo de pensar
com ens podrem frenar,
és la llei del plaer.
Deixa'm sortir del llit,
perquè em tens lligat,
jo no sé què em vols fer,
però estàs molt excitada.
Però això ho hem d'arreglar
a soles tu i jo,
en un lloc on els crits
són la llei del plaer."
"la-llei-del-plaer","les-golfes","Està quedant-se sense forces,
els cors calents s'amaguen,
la nit i el silenci l'oprimeixen,
l'atrapa un crit frenètic.
Com trobarà un cor calent
entre asfalt i soroll, soroll?
encara pot veure aquelles golfes,
on ell jugava a somnis.
Formes i cossos que avui ja no diuen res,
prenien color de màgia,
una sentència imposada pel temps
l'ha condemnat a créixer.
Com trobarà un cor calent
entre asfalt i soroll, soroll?
com trobarà un cor latent
en una freda ciutat com aquesta?
Ja no trepitja aquells vells esglaons,
però ara ha perdut tota l'ànsia,
ha composat un nou refugi,
on recrear el seu món.
On respirar el seu aire,
quan la soledat urbana
li lliga les mans,
tasta la mel prohibida.
Com trobarà un cor calent
entre asfalt i soroll, soroll?
encara pot veure aquelles golfes,
on ell jugava a somnis."
"la-llei-del-plaer","posseit","Quan ella em mira fixament,
és un infern quedar-se quiet,
la suor em crema la pell
i me l'arrenca lentament.
Em sento posseït
pels seus ulls pervertits,
em miren amb desig de seducció.
La calor m'està obsessionant,
fa que la sang em pugi al cap,
em sento com un cavall desbocat,
mirant d'aconseguir el seu cos.
Em sento posseït
pels seus ulls pervertits,
em miren amb desig de seducció.
És la flor prohibida
del jardí del davant
que potser mai podré tocar.
Sento la ira d'un instint animal
que es rebel.la contra el vent,
eternament.
Em sento posseït
pels seus ulls pervertits,
em miren amb desig de seducció.
Han de ser meus."
"la-llei-del-plaer","roses-negres","Roses negres al meu costat
perquè sempre seran aquí?
algú les deixa damunt el llit
com si fos una superstició.
Indiferents al pas del temps
cada nit són al mateix lloc,
desapareixen quan surt el sol
quin és el sentit d'aquest senyal?
Desafiaré el silenci,
esperaré que la nit torni a entrar
per poder-les cremar.
Roses negres en un llit blanc
deixen anar un delicat perfum.
Totes elles plenes de sang,
com si algú les hagués maltractat.
Són agulles dins el meu cap
que em separen de la realitat,
des que tu vas marxar
és un somni que em va destruint.
Desafiaré el silenci,
esperaré impacient la mitjanit
per poder-les tocar.
Desafiaré el silenci,
esperaré que la nit tomi a entrar
per poder-les cremar.
Roses negres al meu costat
perquè sempre seran aquí,
algú les deixa damunt el llit
com si fos una superstició."
"la-llei-del-plaer","sota-les-aigues","Sota les aigües del mar,
en un jardí de corall
diluïdes ombres es confonen
entre algues i sorolls.
Entre les profunditats
es crea la temptació,
brillen els peixos de colors,
acaricien un cos de corall.
Escolto els crits de la nit
que neden, buscant plaer,
ells volen ser seduïts
per formes sensuals de metall.
L'aigua m'entra a la boca,
no em deixa respirar,
m'enfonso entre l'escuma
blanca del mar.
Sota les aigües del mar,
en un jardí de corall
diluïdes ombres es confonen
entre algues i sorolls.
Arremolinades algues
no poden desxifrar
el missatge de la lluna,
penetren les ones del mar.
L'aigua m'entra a la boca,
no em deixa respirar,
m'enfonso entre l'escuma
blanca del mar.
Portat a contracorrent, eròticament,
entro al jardí de corall,
les ones m'arrencaran
el cor de metall.
Sota les aigües del mar,
en un jardí de corall
diluïdes ombres es confonen
entre algues i sorolls."
"la-revolta","el-rebel","Són les set del matí
i una altra nit sense dormir,
no sé si podré aguantar dret.
Ja faig tard al treball
i ahir vaig dir que estava malalt,
segur que em tornen a despedir.
No sé si canviaré mai,
de petit em deien que era un rebel,
però ara que em faig gran sóc igual.
M'agrada estar tranquil,
sense pensar què faré demà.
Senzillament viuré el moment.
Quan parlo amb la gent
sempre em fan cara de pocs amics.
És que no entenen el meu cas.
No sé si canviaré mai,
de petit em deien que era un rebel,
però ara que em faig gran sóc igual.
Ningú vol dormir amb mi
perquè es pensen que estic tocat.
Com et va a tu?, jo vaig tirant!"
"la-revolta","el-sud","Entre dues mirades
hi ha una llum que es va apagant,
entre les paraules
el silenci és gran.
I entre tu i jo
no sabem com continuar
i ara estem aquí parats.
Anem cap al sud,
allà on el vent és més calent,
anem cap al sud,
allà on sempre estarem junts.
Les nits són molt llargues,
si tu no pots estar amb mi,
miro de trobar-te,
però potser t'he perdut.
Trenquem les fronteres
que no ens deixen avançar,
busquem una terra
on tornar a començar.
Anem cap al sud,
allà on el vent és més calent,
anem cap al sud,
allà on sempre estarem junts."
"la-revolta","en-pol","Allà en un carrer molt fosc
avançava sense por,
volia arribar el primer,
però el feien caure en un forat.
Corria pels descampats
d'un barri baix de la ciutat
i així intentava somiar
que un dia ell podrà triomfar.
Sempre deia als seus amics:
'no em veureu aquí
per ser un perdedor'.
I en Pol cridava als carrers:
'jo volaré alt,
ningú em pararà els peus'.
Els seus pares van passar
tota la vida com esclaus,
ell sabia com ningú,
la sort no passa mai per baix.
I així buscava un nou camí
per deixar de ser miserable,
canviar el destí del seu entorn,
sortir del fang on ha crescut.
Sempre deia als seus amics:
'no em veureu aquí
per ser un perdedor'."
"la-revolta","era-un-sonat","Ja es fa fosc i segueix assegut,
porta més de quatre hores
repenjat a la paret.
Explicant històries del passat,
però observa des del terra
com ningú li fot ni cas.
Lentament agafa els seus paquets,
l'abric, la manta, la guitarra
i l'ampolla de vi.
Fa deu nits el van veure passar
per un poble de la costa,
preguntant on era el mar.
Caminarà amb el sol al cap,
menjant la pols del terra,
la gent dirà que era un sonat.
Caminarà sense cap pressa,
parlant amb les pedres,
la gent dirà: 'era un sonat!'.
Fa fred i comença a tronar,
com si res, es mulla el terra
i la gent desapareix.
Mira el cel i es pregunta callat
si és que també està plovent,
perquè el de dalt no està amb ell.
Lentament agafa els seus paquets,
l'abric, la manta, la guitarra
i l'ampolla de vi.
Renegant es posa a fer camí
i marxa cap a un altre poble,
on potser li faran cas.
Caminarà amb el sol al cap,
menjant la pols del terra,
la gent dirà que era un sonat."
"la-revolta","jamie","És que la Jamie està cansada
de fer menjars per a aquell
que és el seu marit,
el seu camí cada dia
és de la cuina al llit.
Sempre s'ha repetit:
'em vaig casar massa jove
amb aquell vell'.
I ara la Jamie està avorrida,
ella vol sortir d'una vida grisa.
Rentar plats i fregar el terra
són les feines que ella
sempre ha de complir.
No li queda més remei
que satisfer els desigs d'un pervertit,
que la tracta com esclava,
objecte fràgil dels seus vicis petits.
I ara la Jamie està avorrida,
ella vol sortir d'una vida grisa,
escolta, Jamie,
per què no escapes d'aquí?
Plegant la roba una tarda,
ell s'acosta per darrera
i la mossega d'imprevist.
Però la Jamie no en té ganes,
d'un cop de planxa el deixa estabornit,
ara és el moment perfecte,
fes les maletes i adéu!, adéu!, adéu!
Corre i abandona-ho tot,
ara pots sortir d'una vida grisa,
escolta, Jamie,
per què no escapes d'aquí?
Corre, Jamie,
per què no escapes d'aquí?,
per què no el deixes per mi?"
"la-revolta","la-costa-del-mal","Tu no t'acostis, em torna a dir la veu.
Aquí perilla la teva integritat.
És com un somni del que no has despertat mai.
És sobreviure a la força del mar.
I tu que em dius que no està bé,
que no me'n podré sortir mai.
'La teva lluita s'ha acabat',
però aquí el mar no té pietat.
És la costa del mal.
Però no t'acostis, em torna a dir la veu,
que la sorra t'enfonsarà i el mar et mullarà.
Millor que marxis, s'acosta el temporal.
La calma és tensa i la llum s'està amagant.
I tu que em dius que no està bé,
que no me'n podré sortir mai.
'La teva lluita s'ha acabat'
però aquí el mar no té pietat.
És la costa del mal..."
"la-revolta","la-revolta","Queia el sol, era un matí d'agost,
amb una calda asfixiant,
jo arribava de fer carretera
i cansat vaig anar a un bar.
Quan darrera meu
va entrar una mossa imponent,
tothom es girava,
mirant el seu cos calent.
Els seus ulls brillaven,
com foc que crema l'aire,
el seu cos calent,
ella s'acariciava.
Molt tranquil.la va anar cap al riu,
com si es volgués banyar,
tot el poble era allà amagat,
esperant el gran moment.
I sense manies
aquella flor es despullava
i allà d'entre els arbres
la revolta va esclatar.
Els seus ulls brillaven,
com foc que crema l'aire,
el seu cos calent,
ella s'acariciava."
"la-revolta","llums-a-la-carretera","Ei! Em pregunto qui ets tu,
que m'has trencat
un silenci que sempre he amagat.
On vas?
per què vols treure els draps bruts?
sé que has pactat amb els dimonis
que volten pel món.
No puc córrer eternament,
sense respirar,
el temps ve darrera meu
i no sé com el puc parar.
No, no em preguntis què vaig fer,
millor per a tots dos
que no sàpigues mai la veritat.
Sé que he d'oblidar els meus records,
però estic cremat
i tu m'estàs pressionant.
No puc córrer eternament,
sense respirar,
el temps ve darrera meu
i no el puc parar.
Llums a la carretera
del meu passat.
Ei! Em pregunto qui ets tu,
que m'has trencat
un silenci que sempre he amagat.
Ei!, necessito estar amb tu,
em sento sol i ets molt lluny
i corres!, corres molt!
Sé que un dia ho descobriràs
i pagaré els errors
amb la meva pell.
No puc córrer eternament,
sense respirar,
el temps ve darrera meu
i no el puc parar.
Llums a la carretera,
vénen a per mi."
"la-revolta","malalts-de-sexe","Diuen que estem penjats,
que som uns inútils.
Tot el dia som al bar
esperant que alguna caigui.
Ens pot passar la nit
buscant carn fresca,
però estem massa beguts
per tenir una bona pesca.
Estem malalts, estem malalts de sexe.
Tota la nit bevent com malparits;
i és que no mullem si no paguem.
Les dones que ens fan cas
són unes golfes,
i és que del cel no plou
si no et busques la vida.
La rossa em diu de prop:
'Deu mil cinc-centes'.
Millor marxar d'aquí,
que aquesta ara em remena la butxaca
per si em queda més!
Estem malalts, estem malalts de sexe.
Tota la nit bevent com malparits,
i és que no mullem...
Diuen que estem penjats,
que som uns inútils.
Tot el dia som al bar,
esperant que alguna caigui.
Diuen que ens sortirà
el fetge per la boca,
però amb tant d'entrenament
el tenim com una roca.
Estem malalts, estem malalts de sexe.
Tota la nit bevent com malparits;
i és que no mullem si no paguem."
"la-revolta","no-canvia-res","Ja estem cansats de tot,
d'esperar quiets,
els dies van passant
i aquí no canvia res.
El camí es fa molt llarg,
si no tens calés,
la pell se't va endurint
dels cops que vas rebent.
Res no et fa mal,
quan vas encès com un animal,
deixant la pell
a cada lloc on trepitgem,
encara que sigui a l'infern.
Travessem deserts
que oblidem amb l'alcohol,
malvivim pels carrers
fins que surt el sol.
Nosaltres ho hem volgut,
sí!, aquí seguirem,
fins que ens caigui el cel al cap
o ens cremin a l'infern.
Res no et fa mal,
quan vas encès com un animal,
deixant la pell
a cada lloc on trepitgem,
encara que sigui a l'infern."
"la-revolta","pell-danimal","Ja estem cansats de tot,
d'esperar quiets,
els dies van passant
i aquí no canvia res.
El camí es fa molt llarg,
si no tens calés,
la pell se't va endurint
dels cops que vas rebent.
Res no et fa mal,
quan vas encès com un animal,
deixant la pell
a cada lloc on trepitgem,
encara que sigui a l'infern.
Travessem deserts
que oblidem amb l'alcohol,
malvivim pels carrers
fins que surt el sol.
Nosaltres ho hem volgut,
sí!, aquí seguirem,
fins que ens caigui el cel al cap
o ens cremin a l'infern.
Res no et fa mal,
quan vas encès com un animal,
deixant la pell
a cada lloc on trepitgem,
encara que sigui a l'infern."
"la-revolta","sentenciat","Quan les dotze havien tocat,
es despertava sobre-saltat,
en un penal abandonat.
S'asseia davant d'un mirall,
recordant els seus crims realitzats,
quan era el terror de la ciutat.
Són els records d'aquell pres
que estava sentenciat a mort.
Saquejant poblats de sol a sol,
per unes quantes monedes d'or
que repartia entre els germans.
El seu cap tenia preu,
viu o mort l'havien d'atrapar,
caçar la llegenda del comtat.
Són els records d'aquell pres
que estava sentenciat a mort.
Fins que un dia algú el va trair
i a la frontera el van 'rodejar',
era el final del seu camí.
Ara en deu hores tot haurà acabat,
el seu cos penjat d'un arbre vell,
ni el 'cura' vindrà a resar per ell.
Són els records d'aquell pres
que estava sentenciat a mort."
"madrid-girona-barcelona","autumn-sens-fa-fosc","Som de boira i som de fang
som de pluja i no ens mullem
fa molt fred però no és hivern
som de fum i som de gel
sense fulles, sense arrels
se'ns apaguen els ulls
I digue'm com ho penses fer
per tenir-me sempre al teu costat
i digue'm què hauràs de trencar
per poder tornar a aprendre a estimar
I ens fem mal o ens fem malbé
avui si, demà no ho sé
què ens està passant
estem dolguts, estem cansats
ens mirem però no ens trobem
ens estem glaçant
I digue'm com ho hauré de fer
per tenir-te sempre al meu costat
i digue'm què hauré de trencar
per poder tornar a aprendre a estimar
Sense bategs s'ha fet de nit...
i ens fa por demanar perdó
I digue'm com ho haurem de fer
i digue'm què haurem de trencar
i digue'm com, i digue'm on
i ho farem"
"madrid-girona-barcelona","temps-perdut","Són tendres i de vidre
les restes del naufragi
quan et miro de nit
Escombro la memòria
recullo el sopar
oblides les ferides
de tot el que no hem dit
Recullo les ferides
oblides el sopar
escombres la memòria,
tornem a començar
Fa fred i tramuntana
encén la llar de foc.
Que el món s'aturi avui.
Em parles a l'orella
em sembla que és el mar,
són sorra i trepitjades
que no s'esborraran
El cafè sense sucre,
com t'agrada a tu,
fred i reposat
com m'agrada a mi
Que estrany ens sembla el món
en dies com avui,
revoltes i futbol,
els diaris en van plens
La peli s'ha acabat,
i tu t'has dormit,
el nas ben congelat,
no saps quina hora és.
Vull ser en Superman
portar-te cap al llit
amb una sola mà
i tu segueix dormint
I tot això que escric
en el vidre entelat,
són secrets ben amagats
(Que el món s'aturi avui)
Avui tenim assaig
somrius i em dius adéu,
no tornis gaire tard,
que els nens ja s'han après
el poema de Nadal
En Micky que ens abraça,
en Santi que ens apreta,
en Marc no porta peca,
en Roger embarassat,
en Dani il·lusionat,
i el Xavi porta rom
tabacs i il·lusions,
tabacs i il·lusions
I torno tard a casa,
i ric amb el poema,
s'ha fet de nit,
s'ha fet de nit.
M'han canviat el torn,
he perdut el tren,
tornem-hi un altre cop,
tornem-hi un altre cop
T'explico tantes coses
en un rellotge aturat
em mires i somrius
un petó i bona nit,
et tapo amb la manta
i miro com t'adorms,
lluitant contra els malsons
On t'has amagat,
sóc jo que m'he perdut.
On t'has amagat,
sóc jo que m'he perdut.
Tornem a començar,
tornem a començar
(Que el món s'aturi avui)
Temps, que no has tingut
Temps, que no t'ha arribat
Temps, que no t'he donat
Em vols? aquí em tens
Sóc per tu. Tot per tu.
Temps per tu. Sóc per tu"
"assaig-error","abans-del-13","Alguns dilluns ho pot evitar.
Però sempre abans del 13.
Creua amb un calfred inusual i em saluda com de costum.
No hi ha remei! Sap que té mala sort.
I en tres segons tornarà a aparèixer,
sentint les cordes es tranquil·litza.
Colpeja una paret i cau una resposta escrita en un paper.
Corre per una espiral d'indiferència fins que el riu l'engoleix.
I el duu on només caben histories perdudes que t'arrosseguen fins al principi.
Ara puc sentir la teua olor.
Mentre descanse recorde les vesprades fredes i grises.
Em gire i veig les restes.
Corre per una espiral d'indiferència fins que el riu l'engoleix.
I el duu on només caben histories perdudes que t'arrosseguen fins al principi.
Corre per una espiral d'indiferència fins que el riu l'engoleix.
I el duu on només caben histories perdudes que t'arrosseguen fins al principi."
